종목명,종목코드,전일가
동화약품,000020,14600
KR모터스,000040,865
경방,000050,13750
메리츠화재,000060,33550
삼양홀딩스,000070,98200
삼양홀딩스우,000075,69000
하이트진로,000080,30150
하이트진로2우B,000087,19100
유한양행,000100,62100
유한양행우,000105,59100
CJ대한통운,000120,126000
하이트진로홀딩스,000140,12200
하이트진로홀딩스우,000145,15300
두산,000150,118000
두산우,000155,80200
두산2우B,000157,102500
성창기업지주,000180,2445
DL,000210,60900
DL우,000215,37000
유유제약,000220,7810
유유제약1우,000225,9680
유유제약2우B,000227,18000
일동홀딩스,000230,14800
한국앤컴퍼니,000240,15700
기아,000270,82200
대유플러스,000300,1315
노루홀딩스,000320,12750
노루홀딩스우,000325,37650
한화손해보험,000370,3710
삼화페인트,000390,9230
롯데손해보험,000400,1620
대원강업,000430,3730
조선내화,000480,81000
대동,000490,10100
가온전선,000500,23800
삼일제약,000520,8340
흥국화재,000540,3600
흥국화재우,000545,8070
흥국화재2우B,000547,27700
CS홀딩스,000590,64100
동아쏘시오홀딩스,000640,115000
천일고속,000650,67300
SK하이닉스,000660,131000
영풍,000670,655000
LS네트웍스,000680,3010
유수홀딩스,000700,6300
현대건설,000720,44450
현대건설우,000725,73600
이화산업,000760,15550
삼성화재,000810,202000
삼성화재우,000815,159000
화천기공,000850,34250
강남제비스코,000860,24950
한화,000880,31400
한화우,000885,38700
한화3우B,00088K,16000
보해양조,000890,905
유니온,000910,7540
전방,000950,40200
한국주철관,000970,9100
DB하이텍,000990,72700
DB하이텍1우,000995,102000
페이퍼코리아,001020,1605
CJ,001040,83400
CJ우,001045,53800
CJ4우(전환),00104K,70500
JW중외제약,001060,22800
JW중외제약우,001065,34000
JW중외제약2우B,001067,60500
대한방직,001070,49400
만호제강,001080,23050
LX인터내셔널,001120,26450
대한제분,001130,154500
국보,001140,1570
유진투자증권,001200,3595
금호전기,001210,3540
동국제강,001230,15900
GS글로벌,001250,2370
남광토건,001260,13900
부국증권,001270,24450
부국증권우,001275,21950
상상인증권,001290,1165
백광산업,001340,5160
삼성제약,001360,4925
SG글로벌,001380,1830
KG케미칼,001390,30750
태원물산,001420,5820
세아베스틸,001430,19900
대한전선,001440,1780
현대해상,001450,22950
BYC,001460,450500
BYC우,001465,184500
삼부토건,001470,2325
현대차증권,001500,12350
SK증권,001510,1000
SK증권우,001515,3950
동양,001520,1465
동양우,001525,7930
동양2우B,001527,15800
동양3우B,001529,32400
DI동일,001530,277000
조비,001550,21050
제일연마,001560,8720
금양,001570,4905
케이비아이동국실업,001620,810
종근당홀딩스,001630,76500
대상,001680,23300
대상우,001685,17150
신영증권,001720,60000
신영증권우,001725,60100
SK네트웍스,001740,5020
SK네트웍스우,001745,83200
한양증권,001750,15700
한양증권우,001755,19400
SHD,001770,29950
알루코,001780,3410
대한제당,001790,3020
대한제당우,001795,3190
오리온홀딩스,001800,15950
삼화콘덴서,001820,60200
DL건설,001880,27150
KISCO홀딩스,001940,14550
코오롱,002020,33050
코오롱우,002025,20800
아세아,002030,128000
비비안,002070,2965
경농,002100,12250
고려산업,002140,2910
도화엔지니어링,002150,7650
삼양통상,002170,58000
한국수출포장,002200,25500
동성제약,002210,8380
한일철강,002220,2675
고려제강,002240,19450
롯데푸드,002270,344500
아세아제지,002310,52600
한진,002320,30100
넥센타이어,002350,6820
넥센타이어1우B,002355,3265
SH에너지화학,002360,973
KCC,002380,315000
한독,002390,22800
범양건영,002410,6510
세기상사,002420,10600
삼익악기,002450,1825
화성산업,002460,12600
조흥,002600,188000
제일파마홀딩스,002620,16000
오리엔트바이오,002630,1220
동일제강,002690,2850
신일전자,002700,2115
TCC스틸,002710,9680
국제약품,002720,6140
보락,002760,1980
진흥기업,002780,2180
진흥기업우B,002785,5930
진흥기업2우B,002787,14400
아모레G,002790,44350
아모레G우,002795,16900
아모레G3우(전환),00279K,33500
삼영무역,002810,14450
SUN&L,002820,5000
미원상사,002840,203500
신풍제지,002870,2215
대유에이텍,002880,1295
TYM,002900,1765
유성기업,002920,3195
한국쉘석유,002960,257500
금호건설,002990,11600
금호건설우,002995,31050
부광약품,003000,12900
혜인,003010,5710
세아제강지주,003030,103000
에이프로젠제약,003060,905
코오롱글로벌,003070,22600
코오롱글로벌우,003075,30300
성보화학,003080,3980
대웅,003090,31050
일성신약,003120,73800
디아이,003160,9360
일신방직,003200,107000
대원제약,003220,16650
삼양식품,003230,94800
태광산업,003240,1043000
흥아해운,003280,2700
한일홀딩스,003300,13500
한국화장품제조,003350,25800
쌍용C&E,003410,7710
